id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,is_bad,simple_prompt,cot_prompt
de6c08e7779a4650,"17:51, 5 Apr 2005 (UTC) 17:51, 5 Apr 2005 (UTC) 17:51, 5 Apr 2005 (UTC) 17:51, 5 Apr 2005 (UTC) 17:51, 5 Apr 2005 (UTC) 17:51, 5 Apr 2005 (UTC) 17:51, 5 Apr 2005 (UTC)Link titlelol",0,0,0,0,0,0,False,"{
  ""is_bad"": 0
}","{
  'reason_innocent': 'The comment appears to be a timestamp followed by ""Link titlelol"", which could be interpreted as a harmless comment with a typo or formatting error.',
  'reason_toxic': 'The repetition of the timestamp and the inclusion of ""lol"" could be considered disruptive or mocking.',
  'is_bad': 1
}"
3c9a35abdd92f64a,"""

October to November, 1868 (Custerwest)
Gas and substitute by our (proper) Background section (based on the mil and gov websites version only).  

The battle (Custerwest)
Swap with our Battle section, based on the modern official account. Custerwest's contains the things which didn't happen, such as the discredited story of """"4 to 6 white captives"""" (discussed in detail before). I also noticed the version by Custerwest completely ommits civilian casalties (except the chief's wife).  

The accounts of the battle (mostly pre-Custerwest)
Swap with our Controversies.  

Aftermath (ours)
Addc.  

Infobox
Swap with ours - based only on the indiscussable things confirmed now, including what Custer said (which would be or not be true, but is not used in the today's estimates). Also, as always, only the government websites (AMH and Washita site). Also, I think it's more informative, and as the rest better written even (his is a mess).  """,0,0,0,0,0,0,False,"{""is_bad"": 0}","{
'reason_innocent': 'The comment appears to be innocently discussing the swapping and amendment of various sections in a historical account.',
'reason_toxic': 'The comment may come across as toxic because of the negative remarks about the accuracy and credibility of another person\'s version of events.',
'is_bad': 0
}"
946754f03a39ef83,"Sample question 

does anyone know where the war sample at the start of Take It Back is from?",0,0,0,0,0,0,False,"{
  ""is_bad"": 0
}","{'reason_innocent': 'The comment is innocuous because the user is simply asking a question about a specific sample used in a song.',
 'reason_toxic': '',
 'is_bad': 0}"
5d6ce6f49dd19b2a,"I have downloaded the New Chronology (2005).xls from the Yahoo group and I have entered its data into my Local NC manager. Now I have to structure it so I can produce a new overview. I will also have to update my database, which will take quite some effort...",0,0,0,0,0,0,False,"{
  ""is_bad"": 0
}","{
  'reason_innocent': 'The comment is innocent because the user is discussing their personal actions and tasks related to managing data.',
  'reason_toxic': 'The comment does not contain any toxic language or behavior.',
  'is_bad': 0
}"
3e3d2e29642b7009,"THE GODS 

It's because I have sold my soul to the dark Lord, to whom I must always answer.

But thanks for the flowers )",0,0,0,0,0,0,False,"{
  ""is_bad"": 0
}","{'reason_innocent': 'The comment might be innocent because the user is expressing gratitude for receiving flowers.',
 'reason_toxic': 'The comment might be toxic because the user mentions selling their soul to the dark Lord.',
 'is_bad': 1}"
d5cceeaee7b71505,In my view they are all relevant to the section or subsection where they appear.,0,0,0,0,0,0,False,"{
  'is_bad': 0
}","{
    'reason_innocent': 'The comment seems to be expressing an opinion or viewpoint.',
    'reason_toxic': 'There does not appear to be any toxic language or intent in the comment.',
    'is_bad': 0
}"
a970c7015e24ad65,"I had left him five messages on his talk page, without response.  On the article page, he had made a ridiculous statement  claiming that his was correct to delete Islamist because it was in the body of the article  but I pointed ou that the lede is a summary.",0,0,0,0,0,0,False,"{""is_bad"": 0}","{'reason_innocent': 'The comment may be innocent because the person is expressing frustration at not receiving a response to their messages and is pointing out a discrepancy in the article.',
 'reason_toxic': 'The comment might be toxic because the person is using strong language (""ridiculous"", ""correct to delete"") and may be dismissive or confrontational (""I pointed out"").',
 'is_bad': 0}"
64ae905a23ac64bb,"I don't believe Prof Williams changed that view, although it's been quoted in a number of sources (often critically).",0,0,0,0,0,0,False,"{""is_bad"": 0}","{'reason_innocent': 'The comment is innocent because it does not contain any explicit offensive language or derogatory remarks.', 'reason_toxic': 'The comment might be considered toxic because it implies that Prof Williams may have a negative or controversial view that is often criticized.', 'is_bad': 0}"
53e8d9cb6659aab7,"I support the merge. Note that there is also an Albanian variant in article Byrek, which should also be merged in. I must say I share Dijxtra's thoughts...",0,0,0,0,0,0,False,"{""is_bad"": 0}","{
'reason_innocent': 'The comment shows support for a merge and discusses a specific article.',
'reason_toxic': 'None',
'is_bad': 0
}"
b0999a8d9c86cee3,"Ok, you are unblocked. 

Please read WP:C. In general, we can't use anything that has been previously published unless it is very old. If you have any copyright questions ask me, or leave a note at Wikipedia_talk:Copyright_problems. Duk",0,0,0,0,0,0,False,"{""is_bad"": 0}","{'reason_innocent': 'The comment appears to be providing information about copyright and directing the reader to a relevant page on Wikipedia.', 'reason_toxic': 'The comment is dismissive and rude when telling the recipient they are unblocked.', 'is_bad': 1}"
62e38775721eb79e,"| decline=Niggers, jews, bad news! Also my cock is hard so it's time for rape lol 86.181.0.14",1,1,1,0,1,1,True,"{
  ""is_bad"": 1
}","{'reason_innocent': 'The comment might be innocent because it includes the word ""decline"" which could indicate a discussion about a decline in something.',
 'reason_toxic': 'The comment might be toxic because it contains racial slurs, explicit sexual content, and mentions rape.',
 'is_bad': 1}"
f1b6c3c2a4290778,"No, you were trying to sound cool but ended up sounding like a retard.",1,0,0,0,1,0,True,{'is_bad': 1},"{
  'reason_innocent': 'The comment could be seen as innocent because it may be a misinterpretation or use of derogatory language without malicious intent.',
  'reason_toxic': 'The use of the word ""retard"" is derogatory and offensive, which can contribute to a toxic comment.',
  'is_bad': 1
}"
73d26c37c6790cbf,EVula likes having gay sex with men!,1,0,0,0,0,1,True,"{
    ""is_bad"": 1
}","{'reason_innocent': 'The comment might be innocent because it is merely stating a personal preference or behavior.', 'reason_toxic': 'The comment might be toxic because it is using derogatory language and making explicit sexual references.', 'is_bad': 1}"
8b554bca6f3ac9d8,"Its madness. Shes of Chinese heritage, but JAPANESE! Thats impossible, its like... if some one was of Irish heritage... and was born in America... would that make them... AMERICAN... That would imply that a persons nationality, is biased on where there born, and has little to do with those who came before them... madness",1,0,0,0,0,0,True,"{""is_bad"": 0}","{
  'reason_innocent': 'The comment might be innocent because it appears to be discussing the concept of nationality and heritage.',
  'reason_toxic': 'The comment might be toxic because it makes derogatory remarks about a specific ethnicity and uses derogatory language like ""madness.""',
  'is_bad': 1
}"
34580fa8951c6fe0,also that waves are born from space because of the two big monster that they fucked on.Bold text,1,0,1,0,0,0,True,"{
  ""is_bad"": 1
}","{'reason_innocent': 'The comment might be innocent because it is discussing a scientific concept of waves being born from space.',
 'reason_toxic': 'The comment might be toxic because it uses offensive language.',
 'is_bad': 1}"
