id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,is_bad
a3faa0a5a9c8f634,"""Back again - just head over to AN/I, say sorry for the hoax and I guess the block will be lifted - otherwise, you are evading a ban and this account will be blocked and that's going to get tired really really quickly. In addition, edits by banned users can be reverted on sight regardless of their merits (and your article edits are excellent), so it would be a shame for them to be reverted.  """,0,0,0,0,0,0,False
31391216c05866b9,"""

 Will McWhinney, Jr. 

hi there!!! I'll post this here for your perusal and maybe we can get this puppy up on the board, eh? alrighty then!!!!

''William """"Will"""" McWhinney is a community activist.

McWhinney is a member of the Sierra Club, winning a 2002 award from the group as liason within the LGBT communtiy. He is alifelong Californian, and son of author, psychologist, and mediator Will McWhinney, of Venice California.

In 2004 he was involved in a power struggle within his local Sierra club chapter. A group of Immigration reformers sought seats on the group's steering committee, via elections. The battle has proved to be a nasty one, and has been joined by the Southern Poverty Law Center, and the Anti-Defamation League

McWhinney also serves as the Sierra Club Outings committee chair.

References
Science monitor article
club outings Angeles chapter quote
Weekly piece

Links
Chapter of Sierra club website
Immigration Forum

""",0,0,0,0,0,0,False
51618db70345fd93,"Obviously, the net force on the flexible pole is not zero, because it is moving. The net force on the bottom of the pole that is attached to the ground, if you will allow anything not to move, is zero. -  

  ES  Feb 15",0,0,0,0,0,0,False
afea110d4c615a54,"re: NPA 

how am i supposed to respond to a sockpuppet user tag that is incessantly being added to my profile page?",0,0,0,0,0,0,False
6d03ae72fd441800,"""

 Incivility is not necessary 

If you disagree with an edit, that is fine, but it is better to explain the objection that to throw around insults. Insults are the sort of things that get editors suspended. That we disagree does not make me """"stupid"""" and mentioning where I am from is neither here nor there. I have not insulted you and see no need for you to insult me. 99.192.85.64  """,0,0,0,0,0,0,False
5dd5d3df43742b7f,"""

 Female foeticide is not abortion 

Female abortion is not """"female foeticide"""". The article needs to be either moved, merged, deleted or rewritten as per the legal definitions of foeticide and abortion.   """,0,0,0,0,0,0,False
b0017dbc528ac28e,"""

It is if it's patently untrue. I can't just say """"ZayZayEM is deliberately vandalizing dozens of pages"""" and then claim that """"I'm just stating my view that ZZEM's edits are vandalism"""" when they obviously aren't. """"Stating one's view"""" does not excuse attacking someone. Thanks.  """,0,0,0,0,0,0,False
9349f77067a1d21f,"""
Oh boy - the Julie Walters revert was a mistake. I do not think it was a disaster though. On the subject of warning users I do not think that warning an IP user hours after the event is worth bothering about especially if they have not made many edits.  If there is vandalism there is no requirement to make any comment so I will not always do so.  On the whole I think you will agree that my reversions are generally right with the odd slip-up now and again. It must run in the family here as with my resident delinquent who will not be able to access my account now.   Chat  """,0,0,0,0,0,0,False
70bdb1ae150f3924,"Edits 

Fine as you can't bring yourself to actually talk reasonably on here and admit you were wrong, I will edit the Ronettes discography when it's unprotected and add the reference in then!",0,0,0,0,0,0,False
2f3753d36b79a707,"Checkuser page of  

Hey, I'm waiting about for 2 months for checking user of  Can you please take a look? Here the link , Thanks",0,0,0,0,0,0,False
0177211a942a8f2c,"""

Just shut up you boring old crap. Nobody even likes you. Also, WTF is all the damn """"copyright pics?"""" WTF is that?? God, you really should get off the Internet & study you uneducated dufus.

Anyway, it's hard to communicate with somebody as stupid as YOU. Also, why should I do what you want me to do? I can do whatever I want you big loser.User:Pic Business

""",1,0,1,0,1,0,True
ad7d86a5389438ab,"Like I said, get the fuck off my page faggot.",1,1,1,0,1,0,True
75f8304970341ac2,"Block me then you cocksucker - clever people don't give a fuck about editing Wikikpedia? Just because Wikipedia has turned you into its bitch, you can't see that being blocked is not a 'punishment'. If it happened to you it would be a blessing, but you'll never see how much time and life you've completely WASTED, because your brain is mush. Fuckin wretch",1,1,1,0,1,0,True
36e98dca5c188008,FUCKING SUCK YOU LIBERAL BASTARD WHO THINKS MICHAEL MOORE IS TRUTHFUL YOU ASSHOLE FUCK BITCH TITS CUNT SNATCH,1,1,1,0,1,0,True
ad77ba6e056c4596,Yes they were Hitler Stated that Slavs were lesser races and should be salves or killed,1,0,0,0,0,0,True
e910cdb6332c673f,"think you are a double headed breast!!!!!!!!!!!11111
i am t3h l337 , i love your porn sites!!! ftw love j + s  <3",1,0,0,0,0,0,True
1e56733945d014c9,wow you truely are a loser all your edits are on the mars volta page,1,0,0,0,1,0,True
90a503ddf75e052b,"frankly errant, you're a bit of a dick. ban me from Wikipedia or whatever for saying that, I don't care.",1,0,1,0,1,0,True
c5c19e34d13396dd,"""

The efforts by Elonka, et. al., to ratify this laughable whitewash of an article are just ludicrous. There is utterly nothing """"neutral"""" about what Wikipedia has puked out onto the Internet about Matt Sanchez. ref  """,1,0,0,0,0,0,True
58b92536208101db,"oi Rror 

Fuck you. wikipedia sucks and so do you for editing my posts, asshole",1,0,1,0,1,0,True
